Date,Item,Amount,Category,Payment Method
2025-10-01,iPhone 15 Pro,120000,Electronics,M-Pesa
2025-10-01,Samsung Galaxy A54,45000,Electronics,Card
2025-10-02,Phone Case,1200,Accessories,Cash
2025-10-02,Bluetooth Speaker,4500,Electronics,M-Pesa
2025-10-03,USB-C Cable,800,Accessories,Cash
2025-10-03,Laptop HP,65000,Electronics,Bank Transfer
2025-10-04,Headphones Sony,8500,Electronics,M-Pesa
2025-10-04,Screen Protector,500,Accessories,Cash
2025-10-05,Power Bank,3500,Accessories,M-Pesa
2025-10-05,Wireless Mouse,1500,Accessories,Card
